ACCNUM	0.15H.IFN_1	0.5H.IFN_1	0.75H.IFN_1	1H.IFN_1	1.25H.IFN_1	1.5H.IFN_1	2.25H.IFN_1	2.75H.IFN_1	3H.IFN_1	3.5H.IFN_1	5H.IFN_1	5.5H.IFN_1	6H.IFN_1	6.5H.IFN_1	7H.IFN_1	8H.IFN_1	9H.IFN_1	10H.IFN_1	11H.IFN_1	12H.IFN_1	13H.IFN_1	14H.IFN_1
NM_021274	6.79147734868519	8.6911130916457	10.2511633346529	12.3703461016223	11.9133929647057	12.2097028998011	11.7757139997698	11.3230065641909	10.4560190019132	9.26452609168597	8.02039786204144	8.68003227000418	7.87442128657222	8.45990317277312	8.4910786338308	8.81368263315421	9.12704000336552	8.87377565744863	9.78624649402024	8.66282445984158	9.07732796682704	8.97036593979441
NR_004432	7.81402911933093	12.7673097467809	11.712579239052	10.6339086125185	9.79030856959648	11.4517847300987	7.96308461587769	9.76949434411108	10.5200063474651	8.38978436518723	8.57631439582374	10.046450917373	11.0606954503415	9.35153814411039	8.16083678292155	8.91266981781167	8.52109551228297	7.52816654313897	9.89060964828764	8.09241251424969	9.17603247965315	9.54067892341345
NM_025378	7.19070367035693	8.17765473918069	9.25002141592072	11.6478888110449	11.1735533478194	11.9021854893962	12.5910251732168	12.5532970015133	12.4941019516385	12.3875061581362	11.5510999720215	11.8336154900877	11.2883304878512	11.7046543078812	11.6129370609863	11.5171976543867	11.6681693887073	11.3625052844779	11.9624553995918	11.2297182047726	11.7001333189026	11.3607084833123
NM_001005858	5.98303905175859	7.6782761426559	9.75836823851649	10.0751600976677	10.5667758226747	9.80374764242161	10.1607904077756	9.56229804543217	9.39544384452388	8.77962577128088	8.51406362750375	8.29946938132264	8.559011817721	8.02372780316062	8.57580818398822	8.25098373385316	8.04634070654473	8.44669495372964	7.57008116625057	8.05960536450287	7.92688571249325	6.86296533194443
NR_002842	8.54177144184544	12.2181359763687	11.082974646511	9.06383603657921	9.3536175509638	10.5104603490726	8.27226782138485	9.89027770361043	9.98149149153352	8.55640911943818	8.54888537715262	9.36548236040549	10.7648579144935	8.85152193252733	8.71875566806064	8.41674164082811	9.16950460755259	8.42506464948164	8.23073712341346	8.63822710331549	8.47156120766231	8.49912861677651
NM_001204910	6.09683550375432	6.79110187289883	7.95781261148211	9.61114473416663	9.8524760494345	10.0368501718508	10.4909935596935	9.45566918191621	8.67749453224391	8.3045969116268	7.59149242657776	7.16227885046311	7.35439706896046	7.60450293392658	7.44754856340863	7.55064907221364	7.72849511252851	7.82829707565457	8.37163996807212	7.46070742785378	7.52063910179735	7.79713536617835
NM_172893	5.93748526185158	6.41498002549172	7.77219557387592	8.53417390890757	9.30698121335649	9.95160705579725	10.3951771952087	10.1569905915709	10.1203948355404	9.48552090485753	8.32783809891393	8.31053816658337	8.31547651969952	8.08662166199803	8.21891719329774	8.01284617919833	8.32749114236441	8.7951454320735	8.16991300210542	8.11394486790661	8.14670186594858	7.67961623938233
NM_145226	6.99157440086031	7.02216117289368	8.69705820433378	8.95136504096359	9.94869759384156	10.3264908295678	11.2478398996304	11.0861120158075	10.9152650365268	10.7871218003456	10.1251023267161	9.84512851019825	10.1057269535272	10.0614785728695	9.84999673994366	9.73046485668633	10.0100463965037	10.3112128162754	9.19327524084466	9.87654669013347	9.77372449831698	8.80806282801199
NM_133871	6.34313966480327	6.93516002771542	7.50592288510933	8.56810232102673	8.62622310105502	10.0084604435395	9.90670318625308	10.4183048659623	9.61763252535003	10.0834491468551	9.28518771751113	9.8195780458146	9.54314591968186	10.0530203690444	9.75534525708865	9.54119318734832	9.85157904180286	9.80190599033557	10.0572473476684	9.54813978941907	9.86529104507939	9.69262130830084
NM_010846	7.61726599248336	9.48497859229328	11.0715323010596	10.7178267706635	11.5124285143274	11.1866670181324	10.9832658036329	10.5738439305247	10.6344038190066	9.73007996954521	9.93651943468658	9.47630419254753	9.79234439948417	9.21265303131908	9.33433780657049	9.64208757366222	9.33112438325351	9.91879468172652	8.90118288660376	9.192345804888	8.85505617620206	8.13359598696501
NM_009425	6.37080318604673	7.46723428723647	9.06649512799744	9.80109525856413	10.1074374566309	9.87230387193481	10.0438516638275	9.11776768886093	8.76374580735814	8.30634343170496	7.80632172339579	7.6162657245863	7.61755900489178	7.84079675744768	7.92270372118887	7.75804237747368	7.64136435230441	8.26651926264356	7.79057594793429	7.79900187866019	7.41817779212362	7.43151291402509
BC056964	9.00616870785865	11.3105267679087	10.5393886136438	10.1537586731763	10.0039923653775	10.4157714402212	8.65499891518236	10.1038873960353	10.3298349703632	9.6007614303107	9.71662676158155	9.94783094827651	10.5603939971259	10.1664867163005	7.78346459591838	10.0871570534955	8.90646431184912	7.66112331207561	9.71530334492501	7.99709249667185	9.40024704533053	9.44690089138046
NR_003508	7.72299958654974	9.43177707233165	10.8682123890015	10.024943157931	11.0066572413239	10.2896714434225	10.3850043030059	9.79178993617956	9.77734194586859	8.96846510555049	9.31171977518243	8.71898391645347	8.9866661449961	8.67506781738533	8.825678061131	9.00739534527388	8.86278678884054	9.34524837977711	7.93288957601066	8.8301194467991	8.1204127112487	7.23078290093031
NM_021384	7.73329531124208	9.50453517493263	11.2057706357899	11.8348362601482	12.28635904127	12.0520603225866	12.0789267482109	11.6342293018627	11.3849265653574	11.0017604091774	10.6355827088599	10.6797728670362	10.3515883277772	10.5645858722733	10.4162503072312	10.5519292369129	10.5508099210302	10.8844820046619	10.388358876527	10.3073203865658	10.5380852446126	10.0745375256663
NM_011909	8.0702819654233	9.70388200701507	12.0023979688095	12.1361117113006	12.4778600975924	12.4002886874207	12.5635745062298	12.1169037976239	12.0647755646081	11.6706153067751	11.3131749221983	11.3833689435189	11.2431112284373	11.4299188913785	11.2559331183449	11.3244261343705	11.4329657190727	11.6944897098417	10.9402541733131	11.2138972314158	11.1939630027758	10.2567262062746
NM_008331	8.67355581953471	10.8896183955936	12.0202132456701	12.3018472503328	12.4994067921042	12.3016924834795	12.1668847345404	11.5956985325155	11.4293667667785	10.6166789789616	10.1738464713573	10.5237487689423	10.2759254262226	10.4456569551637	10.2817062792569	10.3261523492783	10.5412980633897	10.578899611171	10.2544598505857	10.3575995717747	10.451686602597	10.0197288684847
NM_001113529	6.75476239807741	7.34966438745017	9.06859282259309	9.78577540958552	10.1406645151191	10.1983545638466	9.66639195610986	9.5038957719535	9.16140009586977	8.42921126584919	8.01128250670886	8.03464923773814	7.97351360983046	7.83325237205069	7.71852672488542	7.7897655918935	7.82342362099637	7.95992106403074	8.03094725373844	7.82788471971828	7.79709575622074	7.33693484311415
NM_001164477	6.69000901024957	6.81480851294309	8.3847513572328	9.19483138951404	9.94435961616257	10.1763452177714	10.5095677364247	10.0293645158606	9.82765494760653	9.28254199713296	8.7531973761151	8.46960031141754	8.71456541078167	8.59972648488777	8.68251369224568	8.60209086554792	8.52125784922169	8.9020975953701	8.44005572096833	8.37197878690669	8.31891168324765	8.07066550985034
NM_008332	7.7970074335721	10.0464017184715	11.2925121109953	11.0300643244149	11.7774946529245	11.4777125202633	11.596211624551	11.0925784767913	11.0140279843228	10.3320808038331	10.2519955836563	10.0145013385292	10.2252971995393	10.0408563420501	10.1373082934254	10.0267014492381	9.90660565426391	10.5640679718193	9.38978597348573	9.90061693423544	9.54790935667241	9.08263293357799
NM_001083312	8.03115952960155	8.58084689379665	10.3659283110826	10.3327333953536	11.4618665065638	11.1669242355595	11.2679026209515	10.4805285625843	10.3712289635486	9.41463158863818	9.73584008563418	9.21901495519779	9.48535575108144	9.34042402316961	9.36148392391701	9.56635608510191	9.12091802951575	9.67369740405779	9.01243859433747	9.14189289113764	8.81591500801145	8.53987460693052
NM_011520	6.98531759894021	6.56314693576691	8.0902930126946	8.85949057237154	9.17618219115301	9.55689404871231	10.2753225920289	10.425600615845	10.2236200282534	10.2175801484189	9.44761723595109	9.66007857502308	9.4896683907992	9.69068589692315	9.43846309631463	9.39230008550876	9.50863917757483	9.74746652032862	9.48362266973356	9.42173094887108	9.48239594295611	9.00047207030897
NM_001271603	8.05695487275057	8.7177135354677	10.2422653253684	10.9670551080176	10.8976416037019	10.9896627071711	10.3720320711469	9.82864318889063	9.2956366327408	8.95795631041105	8.70546402642501	9.16571389115717	8.62637370872713	8.80294651605974	8.66997598803081	8.52450441554553	8.93065623174863	8.72273351582403	8.63378525823023	8.5736021286357	8.8032215681103	8.5700259797225
NM_001113368	8.79708103086716	8.11133053470048	8.10265676322	9.10733573689306	7.24536499667175	6.85856147976367	6.17149135241168	7.13288243238433	6.80883675095765	7.50985890111546	7.75757628902504	8.00442670224591	7.63221433103743	8.28656607511794	8.01710574004137	8.08283510650309	8.38905243079252	8.5931851285866	9.52241380620312	9.31696966196823	8.98967904802462	9.6427220493883
